retro_id,city,nickname,season,games
NYA,New York,Yankees,1995,75
NYA,New York,Yankees,1996,87
NYA,New York,Yankees,1997,82
NYA,New York,Yankees,1998,88
NYA,New York,Yankees,1999,87
NYA,New York,Yankees,2000,87
NYA,New York,Yankees,2001,89
NYA,New York,Yankees,2002,82
NYA,New York,Yankees,2003,91
NYA,New York,Yankees,2004,87
NYA,New York,Yankees,2005,83
NYA,New York,Yankees,2006,83
NYA,New York,Yankees,2007,83
NYA,New York,Yankees,2008,81
NYA,New York,Yankees,2009,89
NYA,New York,Yankees,2010,85
NYA,New York,Yankees,2011,84
NYA,New York,Yankees,2012,86
NYA,New York,Yankees,2013,81
NYA,New York,Yankees,2014,81
NYA,New York,Yankees,2015,82
NYA,New York,Yankees,2016,81
NYA,New York,Yankees,2017,87
NYA,New York,Yankees,2018,84
NYA,New York,Yankees,2019,86
NYA,New York,Yankees,2020,33
NYA,New York,Yankees,2021,81
NYA,New York,Yankees,2022,86
NYA,New York,Yankees,2023,81
NYA,New York,Yankees,2024,88
NYN,New York,Mets,1990,81
NYN,New York,Mets,1991,82
NYN,New York,Mets,1992,81
NYN,New York,Mets,1993,81
NYN,New York,Mets,1994,53
NYN,New York,Mets,1995,72
NYN,New York,Mets,1996,81
NYN,New York,Mets,1997,81
NYN,New York,Mets,1998,81
NYN,New York,Mets,1999,86
NYN,New York,Mets,2000,89
NYN,New York,Mets,2001,81
NYN,New York,Mets,2002,81
NYN,New York,Mets,2003,80
NYN,New York,Mets,2004,81
NYN,New York,Mets,2005,81
NYN,New York,Mets,2006,87
NYN,New York,Mets,2007,81
NYN,New York,Mets,2008,81
NYN,New York,Mets,2009,81
NYN,New York,Mets,2010,81
NYN,New York,Mets,2011,81
NYN,New York,Mets,2012,81
NYN,New York,Mets,2013,81
NYN,New York,Mets,2014,81
NYN,New York,Mets,2015,88
NYN,New York,Mets,2016,82
NYN,New York,Mets,2017,81
NYN,New York,Mets,2018,81
NYN,New York,Mets,2019,81
NYN,New York,Mets,2020,29
NYN,New York,Mets,2021,81
NYN,New York,Mets,2022,84
NYN,New York,Mets,2023,81
NYN,New York,Mets,2024,86
OAK,Oakland,Athletics,1990,85
OAK,Oakland,Athletics,1991,81
OAK,Oakland,Athletics,1992,84
OAK,Oakland,Athletics,1993,81
OAK,Oakland,Athletics,1994,56
OAK,Oakland,Athletics,1995,72
OAK,Oakland,Athletics,1996,81
OAK,Oakland,Athletics,1997,81
OAK,Oakland,Athletics,1998,81
OAK,Oakland,Athletics,1999,81
OAK,Oakland,Athletics,2000,84
OAK,Oakland,Athletics,2001,83
OAK,Oakland,Athletics,2002,84
OAK,Oakland,Athletics,2003,84
OAK,Oakland,Athletics,2004,81
OAK,Oakland,Athletics,2005,81
OAK,Oakland,Athletics,2006,84
OAK,Oakland,Athletics,2007,81
OAK,Oakland,Athletics,2008,81
OAK,Oakland,Athletics,2009,81
OAK,Oakland,Athletics,2010,81
OAK,Oakland,Athletics,2011,81
OAK,Oakland,Athletics,2012,84
OAK,Oakland,Athletics,2013,84
OAK,Oakland,Athletics,2014,81
OAK,Oakland,Athletics,2015,81
OAK,Oakland,Athletics,2016,81
OAK,Oakland,Athletics,2017,81
OAK,Oakland,Athletics,2018,81
OAK,Oakland,Athletics,2019,82
OAK,Oakland,Athletics,2020,37
OAK,Oakland,Athletics,2021,81
OAK,Oakland,Athletics,2022,80
OAK,Oakland,Athletics,2023,81
OAK,Oakland,Athletics,2024,81
